galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,n_data,selected,excl_reason,Ref,M_star_1e9_Msun,M_gas_1e9_Msun,M_b_1e9_Msun,M_vir_1e9_Msun,f_d,E,log_E,e_log_E,Vflat_source
ESO116-G012,7,13.0,3.9,1,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,15,True,,Ge04,2.146,1.44039,3.5863899999999997,597.3544226599998,0.03531640675022417,28.315451429487588,1.4520234899170807,0.037020519538957304,measured
ESO444-G084,10,4.83,0.48,2,32.0,6.0,0.071,0.003,0.75,19.81,0.46,66.81,0.135,2.95,0.0,0.0,2,7,False,n<10,Co00,0.0355,0.17955000000000002,0.21505000000000002,113.38626618000002,0.011156553986810187,89.63341199999999,1.9524699286618867,,estimated_Vlast
ESO563-G021,4,60.8,9.1,1,83.0,3.0,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,30,True,,SG06,155.5885,32.31634,187.90484,14322.999822560005,0.07717116539332161,12.958207834535825,1.1125449412419834,0.04845434302226362,measured
F561-1,9,66.4,10.0,1,24.0,10.0,4.077,0.327,5.39,22.12,2.79,93.07,1.622,10.69,50.0,2.9,3,6,False,Q=3,"dB97,dB96",2.0385,2.1572600000000004,4.19576,57.5,0.42923375959079285,2.329732873186264,0.3673061277419582,0.07556723985116581,measured
F563-1,9,48.9,9.8,1,25.0,5.0,1.903,0.17,4.61,14.22,3.52,41.77,3.2,23.47,109.9,12.5,1,17,False,i<30 (face-on),"KN08,dB96",0.9515,4.256,5.2075000000000005,610.59171754,0.05016830733405705,19.932902924973597,1.2995705517105363,0.14818965488054542,measured
F563-V1,10,54.0,10.8,1,60.0,10.0,1.54,0.165,5.01,9.75,3.79,40.63,0.61,6.83,0.0,0.0,3,6,False,Q=3,"dB97,dB96",0.77,0.8113,1.5813000000000001,9.35935182,0.99384710445497,1.0061909880478086,0.002680423247496198,,estimated_Vlast
F563-V2,10,59.7,11.9,1,29.0,10.0,2.986,0.267,4.49,23.6,2.43,146.16,2.169,11.37,116.6,9.4,1,10,False,i<30 (face-on),"dB01,dB96",1.493,2.88477,4.37777,729.2114561599999,0.035314294664130774,28.317144927029055,1.452049463532451,0.10503520059752745,measured
F565-V2,10,51.8,10.4,1,60.0,10.0,0.559,0.098,3.57,6.93,2.17,40.26,0.699,7.31,0.0,0.0,2,7,False,n<10,"dB97,dB96",0.2795,0.92967,1.20917,263.9738478599999,0.026944959750916875,37.11269228991787,1.5695224607956513,,estimated_Vlast
F567-2,9,79.0,11.8,1,20.0,10.0,2.134,0.305,5.43,11.5,3.08,46.65,2.449,14.94,0.0,0.0,3,5,False,Q=3,"dB97,dB96",1.067,3.25717,4.32417,65.42885808000001,0.3887626173537378,2.5722637809336826,0.4103155026385925,,estimated_Vlast
F568-1,5,90.7,9.7,1,26.0,5.0,6.252,0.564,7.0,20.36,5.18,57.13,4.498,16.31,0.0,0.0,1,12,False,i<30 (face-on),"dB01,dB96",3.126,5.982340000000001,9.10834,1317.11248,0.04067873579653219,24.58286818454296,1.390632552433693,,estimated_Vlast
F568-3,7,82.4,8.24,1,40.0,10.0,8.346,0.592,7.47,23.81,4.99,132.08,3.195,16.14,0.0,0.0,1,18,True,,"KN08,dB96",4.173,4.24935,8.42235,794.88,0.062327942952543326,16.04416819533741,1.205317206159524,,estimated_Vlast
F568-V1,7,80.6,8.06,1,40.0,10.0,3.825,0.384,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,15,True,,"dB01,dB96",1.9125,3.3130300000000004,5.225530000000001,651.4740188199999,0.047182866663480566,21.194134030308884,1.3262156764578386,0.18330862370627016,measured
F571-8,5,53.3,10.7,1,85.0,5.0,10.164,0.412,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,13,True,,"dB01,dB96",5.082,2.37006,7.4520599999999995,1254.1429755799995,0.0349526711964806,28.610116645410795,1.4565196284573065,0.040103069552984594,measured
